attribute,type
duration,real
protocol_type,categorical
service,categorical
flag,categorical
src_bytes,real
dst_bytes,real
land,binary
wrong_fragment,real
urgent,real
hot,real
num_failed_logins,real
logged_in,binary
num_compromised,real
root_shell,real
su_attempted,real
num_root,real
num_file_creations,real
num_shells,real
num_access_files,real
num_outbound_cmds,real
is_host_login,binary
is_guest_login,binary
count,real
srv_count,real
serror_rate,real
srv_serror_rate,real
rerror_rate,real
srv_rerror_rate,real
same_srv_rate,real
diff_srv_rate,real
srv_diff_host_rate,real
dst_host_count,real
dst_host_srv_count,real
dst_host_same_srv_rate,real
dst_host_diff_srv_rate,real
dst_host_same_src_port_rate,real
dst_host_srv_diff_host_rate,real
dst_host_serror_rate,real
dst_host_srv_serror_rate,real
dst_host_rerror_rate,real
dst_host_srv_rerror_rate,real
class,None
label,None